,end_date_volume,vw_x,end_date_open_price,end_date_close_price,end_date_high_price,end_date_low_price,t_x,n_x,ticker,start_date_volume,vw_y,start_date_open_price,start_date_close_price,start_date_high_price,start_date_low_proce,t_y,n_y
994,141983.0,33.3332,33.75,33.35,34.03,32.98,1610082000000,1514,EIG,126077.0,31.8117,32.53,31.75,32.74,31.59,1609736400000,1644
995,517280.0,11.6885,11.68,11.68,12.1699,11.28,1610082000000,4576,EIGR,803520.0,12.0951,12.5,12.2,12.59,11.58,1609736400000,6572
996,3010.0,24.9321,24.8937,25.0,25.0,24.8937,1610082000000,20,SCEpG,2236.0,25.1604,25.04,25.2304,25.2372,25.04,1609736400000,18
997,106075.0,6.8349,6.82,6.92,6.96,6.7,1610082000000,1179,EKSO,94128.0,6.1137,6.2,6.33,6.38,5.95,1609736400000,1015
998,955882.0,259.5675,260.03,260.73,261.07,257.45,1610082000000,18409,EL,845569.0,189.5123,189.76,189.33,190.94,188.51,1593576000000,13977
999,70194.0,5.6921,5.6,5.88,5.89,5.545,1610082000000,731,ELA,105609.0,5.223,5.2,5.14,5.315,5.1,1609736400000,679
1000,2325411.0,31.1814,31.23,31.38,31.49,30.775,1610082000000,19696,ELAN,2454881.0,30.5106,30.96,30.5,31.15,30.15,1609736400000,17349
1001,1038199.0,23.491,23.85,23.4,24.04,23.22,1610082000000,10076,ELF,924920.0,9.2272,9.64,9.37,9.78,8.98,1585713600000,9651
1002,52505.0,10.3052,10.57,10.21,10.66,10.01,1610082000000,676,ELMD,115612.0,14.78,15.37,14.91,15.4155,14.5,1593576000000,927
1003,814750.0,60.74,60.17,61.06,61.06,60.11,1610082000000,8598,ELS,1151305.0,61.2123,63.2,60.47,63.35,60.44,1609736400000,11375
1004,226760.0,4.0842,4.15,4.12,4.2299,3.98,1610082000000,1851,ELVT,458551.0,3.7925,3.99,3.88,4.04,3.63,1609736400000,3161
1005,994212.0,26.1898,26.47,26.37,26.63,25.5777,1610082000000,10471,ELY,1919214.0,24.3669,24.26,24.28,24.66,24.05,1609736400000,13614
1006,4195707.0,2.1202,1.92,2.19,2.24,1.92,1610082000000,7207,EMAN,1044254.0,1.6781,1.69,1.69,1.74,1.63,1609736400000,3330
1007,9697.0,30.1793,30.0,30.225,30.4999,29.8413,1610427600000,132,EMCF,527.0,30.8653,30.07,31.1215,31.1215,30.07,1609736400000,9
1008,202979.0,99.2053,101.3,99.04,101.33,97.82,1610082000000,3438,EME,255563.0,89.3516,92.17,89.24,92.4,88.26,1609736400000,4667
1009,421801.0,5.7409,5.67,5.66,5.94,5.58,1610082000000,2652,EMKR,14847.0,3.234,3.25,3.22,3.25,3.21,1601524800000,554
1010,871205.0,105.8967,107.01,105.73,107.83,104.265,1610082000000,13284,EMN,1212946.0,98.9995,101.16,98.58,101.5,98.115,1609736400000,14733
1011,2199951.0,81.7635,82.57,81.82,82.67,80.6,1610082000000,27536,EMR,2352904.0,64.8592,66.23,64.63,66.34,64.16,1601524800000,24202
1012,4782123.0,33.413,33.9,33.35,33.99,33.07,1610082000000,32033,ENB,7531707.0,32.009,32.35,31.97,32.59,31.77,1609736400000,31599
1013,10678200.0,7.1332,7.9,7.06,8.04,6.62,1610082000000,38259,ENDP,9831501.0,7.5566,7.4093,7.48,7.83,7.37,1609736400000,39477
1014,5051341.0,4.6694,5.09,4.73,5.19,4.0,1610082000000,17891,ENG,5810283.0,3.1478,3.09,2.89,3.55,2.82,1609131600000,15812
1015,1725264.0,4.0436,4.19,4.01,4.19,3.925,1610082000000,6563,ENLC,3037459.0,3.6758,3.74,3.65,3.81,3.58,1609736400000,11061
1016,78044.0,3.1861,3.11,3.18,3.31,3.11,1610082000000,407,ENOB,145771.0,4.1815,4.26,4.14,4.35,4.03,1593576000000,803
1017,5199658.0,207.5784,217.6977,207.41,219.97,200.05,1610082000000,81665,ENPH,3878990.0,173.3235,178.7,172.24,179.15,167.07,1609736400000,62353
1018,400699.0,45.6244,45.73,45.92,45.93,45.135,1610082000000,7362,ENR,724548.0,39.9179,39.21,40.24,40.48,38.95,1601524800000,6669
1019,371975.0,89.2781,92.14,89.22,92.27,87.685,1610082000000,7386,ENS,466104.0,44.9178,46.66,44.06,47.43,43.62,1585713600000,7461
1020,389336.0,83.6796,85.57,83.93,86.736,82.03,1610082000000,4895,ENSG,403597.0,75.194,73.02,75.34,76.7,73.02,1609736400000,6103
1021,153744.0,45.4767,45.86,45.61,46.87,44.6201,1610082000000,2825,ENTA,182079.0,45.947,46.02,46.35,46.67,45.02,1601524800000,3382
1022,1043407.0,99.9389,100.55,99.53,102.41,98.0,1610082000000,10071,ENTG,755341.0,96.1181,96.89,95.2,99.49,94.43,1609736400000,11476
1023,376700.0,1.2254,1.22,1.2,1.27,1.18,1610082000000,1034,ENTX,1012370.0,1.1604,1.11,1.24,1.25,1.07,1609736400000,1732
1024,1464954.0,85.3022,84.61,85.62,86.29,84.23,1610082000000,6137,ENV,386168.0,80.4769,82.79,79.88,82.96,79.7,1609736400000,5301
1025,363251.0,25.3977,26.59,25.37,26.715,24.9,1610082000000,3711,ENVA,601773.0,23.3804,24.94,23.06,25.236,22.77,1609736400000,6241
1026,250002.0,2.6215,2.69,2.61,2.74,2.58,1610082000000,972,ENZ,363730.0,2.3814,2.39,2.4,2.43,2.325,1596427200000,2195
1027,5862878.0,59.0275,59.5,58.87,59.69,57.9901,1610082000000,51462,EOG,4476325.0,49.733,50.76,49.86,50.95,48.6,1609736400000,33300
1028,858992.0,4.1184,3.84,4.24,4.3,3.84,1610082000000,3642,EOLS,590850.0,3.2435,3.42,3.2,3.4237,3.1399,1609736400000,2867
1029,1960385.0,28.2734,27.2,28.83,31.03,25.69,1610082000000,12649,EOSE,2007691.0,22.6728,22.49,23.9,24.2,20.42,1609736400000,15841
1030,230663.0,23.9198,24.71,23.92,24.8,23.62,1610082000000,3021,EPAC,143466.0,21.0587,20.67,21.22,21.23,20.57,1598932800000,1829
1031,344272.0,342.5104,341.17,342.37,347.17,340.32,1610082000000,7901,EPAM,326434.0,347.2306,359.01,348.06,360.245,340.59,1609736400000,9703
1032,205009.0,53.7782,54.22,53.86,54.6,53.1,1610082000000,2682,EPAY,204123.0,50.0527,50.69,50.01,50.89,49.3,1593576000000,3434
1033,359870.0,34.5715,35.2,34.67,35.2,34.18,1610082000000,4014,EPC,362931.0,28.0595,27.95,28.22,28.33,27.45,1601524800000,5061
1034,7379423.0,21.3676,21.53,21.39,21.54,21.165,1610082000000,37721,EPD,12848455.0,19.5064,20.01,19.29,20.02,19.28,1609736400000,51542
1035,566481.0,12.3912,12.75,12.02,12.9,11.6301,1610082000000,1323,EPIX,77202.0,6.9747,7.0,6.94,7.19,6.76,1601524800000,394
1036,117367.0,3.0903,3.12,3.05,3.175,3.0,1610082000000,773,EPM,138089.0,2.8825,2.83,2.93,2.94,2.73,1593576000000,1222
1037,944125.0,33.5838,32.96,33.58,34.18,32.85,1610082000000,9413,EPR,1015649.0,31.4311,32.85,30.93,33.0,30.85,1609736400000,10637
1038,1063955.0,20.8675,20.64,21.06,21.18,20.45,1610082000000,7034,EPRT,780593.0,20.4991,21.19,20.43,21.42,20.08,1609736400000,8229
1039,623365.0,12.2932,11.98,12.32,12.55,11.95,1610082000000,6300,EPZM,725417.0,10.7601,10.89,10.71,11.02,10.62,1609736400000,6156
1040,28433.0,23.1796,23.69,23.17,23.69,22.81,1610082000000,484,EQBK,49326.0,21.3144,21.65,21.54,21.77,20.95,1609736400000,759
1041,715893.0,27.1757,26.98,27.23,27.27,26.87,1610082000000,4618,EQC,1272264.0,27.0746,27.28,26.94,27.49,26.835,1609736400000,10138
1042,59155.0,10.385,10.43,10.37,10.48,10.3,1610082000000,229,EQD,96500.0,10.2887,10.39,10.3,10.39,10.2,1609736400000,525
1043,1848256.0,26.6908,26.97,26.72,27.01,26.44,1610082000000,14047,EQH,3136534.0,24.8646,25.75,24.72,25.77,24.595,1609736400000,21998
1044,624205.0,692.2079,686.31,692.46,698.65,683.76,1610082000000,16259,EQIX,567059.0,696.5428,718.34,692.56,719.24,691.63,1609736400000,16664
1045,2109975.0,58.0776,57.99,58.26,58.39,57.59,1610082000000,21439,EQR,4585706.0,57.5931,59.38,57.5,60.08,57.22,1609736400000,24940
1046,4860091.0,14.5478,15.09,14.52,15.13,14.35,1610082000000,35300,EQT,5406951.0,13.3148,12.97,13.41,13.5428,12.93,1609736400000,35464
1047,50926.0,258.4297,255.8994,259.29,260.0,255.27,1610082000000,2257,ERIE,53744.0,241.0899,245.6,240.91,245.75,238.9234,1609736400000,1542
1048,252457.0,15.0087,15.24,15.09,15.25,14.82,1610082000000,2725,ERII,532059.0,13.918,14.31,13.75,14.54,13.57,1609736400000,5297
1049,1629030.0,90.0151,88.53,90.33,90.46,88.415,1610082000000,18631,ES,1770476.0,84.8742,86.66,84.51,86.93,83.95,1609736400000,20082
1050,10516.0,9.0758,9.075,9.1,9.12,9.01,1610082000000,97,ESBA,747.0,8.9507,8.91,8.97,8.995,8.91,1609736400000,17
1051,27959.0,21.8898,22.42,21.84,22.42,21.51,1610082000000,503,ESCA,37110.0,22.1147,22.15,22.13,22.46,21.5,1609131600000,387
1052,93860.0,109.6801,110.58,110.0,110.9,108.43,1610082000000,2650,ESE,112025.0,81.5048,80.93,81.76,81.92,79.45,1601524800000,2141
1053,27851.0,212.0343,215.44,212.9,215.74,208.79,1610082000000,1001,ESGR,37750.0,202.5793,204.58,202.07,205.875,201.27,1609736400000,1773
1054,1194802.0,18.8943,18.93,18.87,19.12,18.62,1610082000000,9905,ESI,1805018.0,17.499,17.78,17.3,17.9,17.18,1609736400000,11570
1055,1203904.0,47.3457,47.03,47.92,48.02,46.515,1610082000000,9486,ESNT,663976.0,42.1622,43.54,42.16,43.57,41.24,1609736400000,7871
1056,3824.0,19.5723,19.56,19.8211,20.0,19.305,1610082000000,47,ESP,2154.0,17.3387,17.4,17.22,17.4499,17.17,1593576000000,35
1057,522844.0,30.6434,31.09,31.05,31.4,29.82,1610082000000,5887,ESPR,730388.0,27.4153,26.09,27.71,27.98,26.09,1609736400000,6813
1058,33162.0,21.1357,21.1839,21.87,22.0,20.42,1610082000000,455,ESQ,12231.0,18.7769,19.3,18.7,19.44,18.47,1609736400000,259
1059,1732382.0,9.1142,9.11,9.19,9.205,8.97,1610082000000,8118,ESRT,1486244.0,9.0295,9.32,9.01,9.39,8.9,1609736400000,10518
1060,218222.0,233.4352,231.63,233.89,234.58,230.87,1610082000000,6400,ESS,575208.0,229.6135,237.25,228.25,239.3,228.1,1609736400000,13281
1061,9135.0,15.4106,15.75,15.36,16.0,15.04,1610082000000,181,ESSA,9686.0,12.2679,12.2356,12.25,12.44,12.045,1601524800000,236
1062,47918.0,38.0491,37.78,37.91,38.79,37.2601,1610082000000,472,ESTA,81526.0,36.303,37.94,36.0,37.94,35.1001,1609736400000,979
1063,769646.0,152.5205,151.81,152.15,155.44,150.95,1610082000000,9755,ESTC,543760.0,62.27,61.8,62.14,63.3,61.59,1588305600000,7290
