,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc,currency_symbol,base_currency_symbol,base_currency_name,Market Cap,IPO Year,Sector,Industry
98,ACHR,Archer Aviation Inc.,stocks,us,XNYS,CS,True,usd,0001824502,BBG00XRTC910,BBG00XRTC929,2022-03-22T00:00:00Z,,,,1040887384.0,2020.0,Capital Goods,Aerospace
100,ACHV,"Achieve Life Sciences, Inc.",stocks,us,XNAS,CS,True,usd,0000949858,BBG000FB8S62,BBG001S8JF14,2022-03-22T00:00:00Z,,,,69726354.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
101,ACI,"Albertsons Companies, Inc.",stocks,us,XNYS,CS,True,usd,0001646972,BBG009KG1750,BBG009KG1741,2022-03-22T00:00:00Z,,,,17171401961.0,2020.0,Consumer Services,Food Chains
102,ACII,Atlas Crest Investment Corp. II,stocks,us,XNYS,CS,True,usd,0001838614,BBG00Z47MJD2,BBG00Z47MJG9,2022-03-22T00:00:00Z,,,,422193750.0,2021.0,,
105,ACIO,Aptus Collared Income Opportunity ETF,stocks,us,BATS,ETF,True,usd,0000810972,BBG00PNSDFF3,BBG00PNSDG52,2022-03-22T00:00:00Z,,,,,,,
106,ACIU,AC Immune SA,stocks,us,XNAS,CS,True,usd,0001651625,,,2022-03-22T00:00:00Z,,,,302992517.0,2016.0,Health Care,Biotechnology: Pharmaceutical Preparations
107,ACIW,"ACI Worldwide, Inc.",stocks,us,XNAS,CS,True,usd,0000935036,BBG000PMBV39,BBG001S9KLL5,2022-03-22T00:00:00Z,,,,3827017232.0,,Technology,EDP Services
108,ACKIT,Ackrell SPAC Partners I Co. Subunits,stocks,us,XNAS,,True,usd,0001790121,BBG00Z49Q7B2,BBG00Z49Q866,2022-03-22T00:00:00Z,,,,0.0,2021.0,,
111,ACLS,Axcelis Technologies Inc,stocks,us,XNAS,CS,True,usd,0001113232,BBG000DW34S2,BBG001SF8W86,2022-03-22T00:00:00Z,,,,2677725498.0,2000.0,Technology,Industrial Machinery/Components
112,ACLX,"Arcellx, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001786205,BBG00QHJM4S9,BBG00QHJM4W4,2022-03-22T00:00:00Z,,,,541540699.0,2022.0,Health Care,Biotechnology: Pharmaceutical Preparations
113,ACM,Aecom,stocks,us,XNYS,CS,True,usd,0000868857,BBG000F61RJ8,BBG001SKTTF1,2022-03-22T00:00:00Z,,,,11031803745.0,2007.0,Consumer Services,Military/Government/Technical
114,ACMR,"ACM Research, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001680062,BBG00HPSG933,BBG00HPSG942,2022-03-22T00:00:00Z,,,,1209969593.0,2017.0,Technology,Industrial Machinery/Components
115,ACN,Accenture PLC,stocks,us,XNYS,CS,True,usd,0001467373,,,2022-03-22T00:00:00Z,,,,205190168427.0,2001.0,Technology,EDP Services
116,ACNB,ACNB Corp,stocks,us,XNAS,CS,True,usd,0000715579,BBG000BJ2LY9,BBG001S6CVZ3,2022-03-22T00:00:00Z,,,,293096787.0,,Finance,Major Banks
117,ACOR,"Acorda Therapeutics, Inc.",stocks,us,XNAS,CS,True,usd,0001008848,BBG000FD10V8,BBG001SH8359,2022-03-22T00:00:00Z,,,,19043811.0,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
118,ACP,Aberdeen Income Credit Strategies Fund,stocks,us,XNYS,FUND,True,usd,0001503290,BBG0017VSC04,BBG001TCSLH4,2022-03-22T00:00:00Z,,,,230319728.0,2011.0,Finance,Investment Managers
120,ACQR,Independence Holdings Corp. Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0001837393,,,2022-03-22T00:00:00Z,,,,604200344.0,2021.0,Finance,Business Services
123,ACR,ACRES Commercial Realty Corp.,stocks,us,XNYS,CS,True,usd,0001332551,BBG000HK4RX6,BBG001SP6Y91,2022-03-22T00:00:00Z,,,,111214463.0,,Consumer Services,Real Estate Investment Trusts
124,ACRE,Ares Commercial Real Estate Corporation,stocks,us,XNYS,CS,True,usd,0001529377,BBG0022MMQB0,BBG0022MMR46,2022-03-22T00:00:00Z,,,,709747667.0,2012.0,Consumer Services,Real Estate Investment Trusts
125,ACRO,Acropolis Infrastructure Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001847891,BBG00ZTH7611,BBG00ZTH7620,2022-03-22T00:00:00Z,,,,417234375.0,2021.0,,
128,ACRS,"Aclaris Therapeutics, Inc.",stocks,us,XNAS,CS,True,usd,0001557746,BBG003LF0QR9,BBG003LF0QS8,2022-03-22T00:00:00Z,,,,1034935307.0,2015.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
129,ACRX,"AcelRx Pharmaceuticals, Inc",stocks,us,XNAS,CS,True,usd,0001427925,BBG0018YYFX7,BBG001TFZCK5,2022-03-22T00:00:00Z,,,,46509460.0,2011.0,Consumer Durables,Specialty Chemicals
133,ACST,"Acasti Pharma, Inc.",stocks,us,XNAS,CS,True,usd,0001444192,BBG001NMDXS6,BBG001SFYCM5,2022-03-22T00:00:00Z,,,,49602765.0,,,
134,ACT,"Enact Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001823529,BBG00WSNP4R3,BBG00WSNP4S2,2022-03-22T00:00:00Z,,,,3574364428.0,2021.0,Finance,Specialty Insurers
135,ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0001842279,,,2022-03-22T00:00:00Z,,,,384869795.0,2021.0,,
138,ACTG,Acacia Research Corporation,stocks,us,XNAS,CS,True,usd,0000934549,BBG000KF9J02,BBG001SJLJT9,2022-03-22T00:00:00Z,,,,188449038.0,,Miscellaneous,Multi-Sector Companies
140,ACU,Acme United Corporation,stocks,us,XASE,CS,True,usd,0000002098,BBG000BB3LM8,BBG001S5NCC0,2022-03-22T00:00:00Z,,,,124268673.0,1988.0,Consumer Durables,Home Furnishings
141,ACV,Virtus AllianzGI Diversified Income & Convertible Fund,stocks,us,XNYS,FUND,True,usd,0001636289,BBG008HMBD22,BBG008HMBD31,2022-03-22T00:00:00Z,,,,261229402.0,2015.0,Finance,Finance/Investors Services
142,ACVA,ACV Auctions Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001637873,BBG00G5JGQ66,BBG00G5JGQ75,2022-03-22T00:00:00Z,,,,2240862370.0,2021.0,Technology,EDP Services
146,ACWV,iShares MSCI Global Min Vol Factor ETF,stocks,us,BATS,ETF,True,usd,0000930667,BBG0025X38X0,BBG0025X39Q6,2022-03-22T00:00:00Z,,,,,,,
148,ACXP,"Acurx Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001736243,BBG01184DNJ4,BBG01184DNK2,2022-03-22T00:00:00Z,,,,37185483.0,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
149,ACY,AeroCentury Corporation,stocks,us,XASE,CS,True,usd,0001036848,BBG000B9WP24,BBG001S5NCK1,2022-03-22T00:00:00Z,,,,63822919.0,,Technology,Diversified Commercial Services
150,ADAG,Adagene Inc. American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001818838,BBG00YZ6BYJ6,BBG00YZ6BZC0,2022-03-22T00:00:00Z,,,,209168189.0,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
151,ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001853928,,,2022-03-22T00:00:00Z,,,,299460000.0,2021.0,,
154,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,stocks,us,XNAS,ADRC,True,usd,0001621227,BBG008G65WC2,BBG008G65WD1,2022-03-22T00:00:00Z,,,,341676421.0,2015.0,Health Care,Biotechnology: Pharmaceutical Preparations
155,ADBE,Adobe Inc.,stocks,us,XNAS,CS,True,usd,0000796343,BBG000BB5006,BBG001S5NCQ5,2022-03-22T00:00:00Z,,,,214130755978.0,1986.0,Technology,Computer Software: Prepackaged Software
156,ADC,Agree Realty Corporation,stocks,us,XNYS,CS,True,usd,0000917251,BBG000BC9DK0,BBG001S6RY81,2022-03-22T00:00:00Z,,,,4565824170.0,,Consumer Services,Real Estate Investment Trusts
157,ADCT,ADC Therapeutics SA,stocks,us,XNYS,CS,True,usd,0001771910,,,2022-03-22T00:00:00Z,,,,1093284182.0,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
