,0
701,0001001085
702,0001837429
703,0001169770
704,0001514416
705,0000760498
706,0000946673
707,0001578987
708,0001811216
709,0001001290
710,0001415726
711,0001690437
712,0001819574
713,0001845022
714,0001282648
715,0001560385
716,0001633061
717,0000010456
718,0001070235
719,0001836981
720,0000913059
721,0001485894
722,0000886158
723,0001703956
724,0001160330
725,0001379785
726,0001099160
727,0000819050
728,0001717556
729,0001743881
730,0001419554
731,0001866390
732,0001493683
733,0001021270
734,0000902791
735,0001654795
736,0001871130
737,0000842180
738,0001113809
739,0000701985
740,0000764478
741,0000014930
742,0001826892
743,0001814140
744,0001809541
745,0001228454
746,0001328581
747,0000925741
748,0000718940
749,0001532346
750,0001161125
751,0001137883
752,0001730984
753,0000078890
754,0001068875
755,0001313275
756,0001847360
757,0000009326
758,0000882796
759,0000312069
760,0001873441
761,0001655050
762,0001610820
763,0000009521
764,0001506289
765,0001761612
766,0000913142
767,0001332283
768,0000012040
769,0000790816
770,0001000683
771,0001610940
772,0001103021
773,0001439725
774,0001701541
775,0000010795
776,0001664703
777,0001745999
778,0001779372
779,0001124941
780,0001696355
781,0001398805
782,0001809587
783,0000729580
784,0000038777
785,0001828735
786,0001533232
787,0001791863
788,0001378992
789,0000927971
790,0001709505
791,0000014693
792,0001880441
793,0001437578
794,0001746109
795,0001723580
796,0001303942
797,0001137393
798,0001804176
799,0001858685
800,0000907254
801,0001624322
802,0001137391
803,0001144519
804,0001546429
805,0001094831
806,0001156388
807,0001521404
808,0001179821
809,0001329377
810,0001651308
811,0001306550
812,0001824734
813,0001278027
814,0001474903
815,0001838666
816,0001287480
817,0001504234
818,0001393299
819,0001726173
820,0001851612
821,0001759136
822,0000743367
823,0000885590
824,0000863436
825,0001685040
826,0001671284
827,0001830210
828,0001160864
829,0001108134
830,0000811809
831,0001574085
832,0001759186
833,0001169034
834,0001689813
835,0001733356
836,0001125816
837,0001329099
838,0000102426
839,0000768835
840,0001626450
841,0001836057
842,0000875045
843,0001081019
844,0001723690
845,0001786352
846,0001213660
847,0000012208
848,0001044378
849,0000811240
850,0001856653
851,0001825413
852,0001769484
853,0001406234
854,0001788348
855,0001653909
856,0001562818
857,0001831270
858,0001812477
859,0001452937
860,0000794105
861,0001580149
862,0001531152
863,0001704287
864,0001013488
865,0001390777
866,0001326003
867,0001332349
868,0000885245
869,0001392091
870,0001130464
871,0001627014
872,0001820302
873,0000914208
874,0000894242
875,0001075531
876,0001701605
877,0001007273
878,0001753539
879,0000832327
880,0000002186
881,0001504008
882,0001019034
883,0001666134
884,0001589526
885,0001567900
886,0001358403
887,0001791278
888,0001633931
889,0001779128
890,0001453015
891,0001316835
892,0001176194
